HEAD,HANDL,HANDR
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383368;0.7238848;-0.3342028;0.2567067;0.2129011;0.8815233,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383367;0.7238847;-0.3342033;0.2567072;0.2129008;0.881523,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383369;0.7238848;-0.3342024;0.2567063;0.2129014;0.8815235,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383368;0.7238848;-0.3342028;0.2567068;0.2129012;0.8815233,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383368;0.7238847;-0.3342028;0.2567068;0.2129012;0.8815233,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.938337;0.7238848;-0.3342023;0.2567064;0.2129014;0.8815234,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.938337;0.7238848;-0.3342023;0.2567064;0.2129016;0.8815234,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.938337;0.7238848;-0.3342023;0.2567064;0.2129016;0.8815234,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383368;0.7238847;-0.3342027;0.256707;0.2129014;0.8815231,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383369;0.7238848;-0.3342022;0.2567065;0.2129016;0.8815234,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383368;0.7238847;-0.3342026;0.256707;0.2129014;0.8815231,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383368;0.7238847;-0.3342026;0.2567071;0.2129014;0.8815231,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.938337;0.7238848;-0.3342018;0.2567061;0.2129019;0.8815237,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383369;0.7238848;-0.3342022;0.2567066;0.2129016;0.8815234,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383368;0.7238847;-0.3342026;0.2567071;0.2129014;0.8815231,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383368;0.7238847;-0.3342025;0.2567072;0.2129014;0.8815231,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
